,label
0,Stable
1,Stable
2,Stable
3,Stable
4,Stable
5,Stable
6,Stable
7,Stable
8,Stable
9,Stable
10,Stable
11,Stable
12,Stable
13,Stable
14,Stable
15,Stable
16,Stable
17,Stable
18,Stable
19,Stable
20,Stable
21,Stable
22,Stable
23,Stable
24,Stable
25,Stable
26,Stable
27,Stable
28,Stable
29,Stable
30,Stable
31,Stable
32,Stable
33,Stable
34,Stable
35,Stable
36,Stable
37,Stable
38,Stable
39,Stable
40,Stable
41,Stable
42,Stable
43,Stable
44,Stable
45,Stable
46,Stable
47,Stable
48,Stable
49,Stable
50,Stable
51,Stable
52,Stable
53,Stable
54,Stable
55,Stable
56,Stable
57,Stable
58,Stable
59,Stable
60,Stable
61,Stable
62,Stable
63,Stable
64,Stable
65,Stable
66,Stable
67,Stable
68,Stable
69,Stable
70,Stable
71,Stable
72,Stable
73,Stable
74,Stable
75,Stable
76,Stable
77,Stable
78,Stable
79,Stable
80,Stable
81,Stable
82,Stable
83,Stable
84,Stable
85,Stable
86,Stable
87,Stable
88,Stable
89,Stable
90,Stable
91,Stable
92,Stable
93,Stable
94,Stable
95,Stable
96,Stable
97,Stable
98,Stable
99,Stable
100,Stable
101,Stable
102,Stable
103,Stable
104,Stable
105,Stable
106,Stable
107,Stable
108,Stable
109,Stable
110,Stable
111,Stable
112,Stable
113,Stable
114,Stable
115,Stable
116,Stable
117,Stable
118,Stable
119,Stable
120,Stable
121,Stable
122,Stable
123,Stable
124,Stable
125,Stable
126,Stable
127,Stable
128,Stable
129,Stable
130,Stable
131,Stable
132,Stable
133,Stable
134,Stable
135,Stable
136,Stable
137,Stable
138,Stable
139,Stable
140,Stable
141,Stable
142,Stable
143,Stable
144,Stable
145,Stable
146,Stable
147,Stable
148,Stable
149,Stable
150,Stable
151,Stable
152,Stable
153,Stable
154,Stable
155,Stable
156,Stable
157,Stable
158,Stable
159,Stable
160,Stable
161,Stable
162,Stable
163,Stable
164,Stable
165,Stable
166,Stable
167,Stable
168,Stable
169,Stable
170,Stable
171,Stable
172,Stable
173,Stable
174,Stable
175,Stable
176,Stable
177,Stable
178,Stable
179,Stable
180,Stable
181,Stable
182,Stable
183,Stable
184,Stable
185,Stable
186,Stable
187,Stable
188,Stable
189,Stable
190,Stable
191,Stable
192,Stable
193,Stable
194,Stable
195,Stable
196,Stable
197,Stable
198,Stable
199,Stable
200,Stable
201,Stable
202,Stable
203,Stable
204,Stable
205,Stable
206,Stable
207,Stable
208,Stable
209,Stable
210,Stable
211,Stable
212,Stable
213,Stable
214,Stable
215,Stable
216,Stable
217,Stable
218,Stable
219,Stable
220,Stable
221,Stable
222,Stable
223,Stable
224,Stable
225,Stable
226,Stable
227,Stable
228,Stable
229,Stable
230,Stable
231,Stable
232,Stable
233,Stable
234,Stable
235,Stable
236,Stable
237,Stable
238,Stable
239,Stable
240,Stable
241,Stable
242,Stable
243,Stable
244,Stable
245,Stable
246,Stable
247,Stable
248,Stable
249,Stable
250,Stable
251,Stable
252,Stable
253,Stable
254,Stable
255,Stable
256,Stable
257,Stable
258,Stable
259,Stable
260,Stable
261,Stable
262,Stable
263,Stable
264,Stable
265,Stable
266,Stable
267,Stable
268,Stable
269,Stable
270,Stable
271,Stable
272,Stable
273,Stable
274,Stable
275,Stable
276,Stable
277,Stable
278,Stable
279,Stable
280,Stable
281,Stable
282,Stable
283,Stable
284,Stable
285,Stable
286,Stable
287,Stable
288,Stable
289,Stable
290,Stable
291,Stable
292,Stable
293,Stable
294,Stable
295,Stable
296,Stable
297,Stable
298,Stable
299,Stable
300,Stable
301,Stable
302,Stable
303,Stable
304,Stable
305,Stable
306,Stable
307,Stable
308,Stable
309,Stable
310,Stable
311,Stable
312,Stable
313,Stable
314,Stable
315,Stable
316,Stable
317,Stable
318,Stable
319,Stable
320,Stable
321,Stable
322,Stable
323,Stable
324,Stable
325,Stable
326,Stable
327,Stable
328,Stable
329,Stable
330,Stable
331,Stable
332,Stable
333,Stable
334,Stable
335,Stable
336,Stable
337,Stable
338,Stable
339,Stable
340,Stable
341,Stable
342,Stable
343,Stable
344,Stable
345,Stable
346,Stable
347,Stable
348,Stable
349,Stable
350,Stable
351,Stable
352,Stable
353,Stable
354,Stable
355,Stable
356,Stable
357,Stable
358,Stable
359,Stable
360,Stable
361,Stable
362,Stable
363,Stable
364,Stable
365,Stable
366,Stable
367,Stable
368,Stable
369,Stable
370,Stable
371,Stable
372,Stable
373,Stable
374,Stable
375,Stable
376,Stable
377,Stable
